BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
1003970012,1,397,12,157,EAST 2 STREET,157 East 2 Street HDFC,10438,1004947,40,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,2,65,26,12,10009,3002
1019050105,1,1905,105,157,WEST 120 STREET,157 W 120 ST HSING DEV FUND CO,38839,1057662,4,RENTAL,2,,,Sweat Equity,110,9,70,30,13,10027,220
1019040006,1,1904,6,157,WEST 119 STREET,157 West 119 Street HDFC,38681,1057534,20,RENTAL,2,Community Management Program (CMP),,,110,9,70,30,13,10026,220
1019080001,1,1908,1,2061,ADAM C POWELL BOULEVARD,157 West 123 Street HDFC,3448,1057775,54,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10027,222
1018600005,1,1860,5,161,WEST 105 STREET,157-161 W. 105 ST HDF,37522,1055928,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,189
1018600007,1,1860,7,157,WEST 105 STREET,157-161 West 105 Street HDFC,37521,1055929,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,189
1020700029,1,2070,29,501,WEST 138 STREET,1580 Amsterdam Avenue HDFC,5595,1079852,22,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,7,70,31,13,10031,225
1018490052,1,1849,52,16,MORNINGSIDE AVENUE,16 Morningside Avenue HDFC,25526,1055889,12,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,20102
1003980058,1,398,58,162,EAST 2 STREET,160-62 East 2 Street HDFC,10440,1077602,16,COOP,2,Community Management Program (CMP),Mark Matthews,,103,2,65,26,12,10009,3002
1020710030,1,2071,30,1608,AMSTERDAM AVENUE,1608-10 Amsterdam Avenue HDFC,5599,1061736,19,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,7,70,31,13,10031,225
1017170045,1,1717,45,16,WEST 119 STREET,16-18 West 119 Street HDFC,38683,1053200,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,190
1017170002,1,1717,2,162,LENOX AVENUE,162-68 Lenox Avenue HDFC,23438,1053176,27,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,190
1019030031,1,1903,31,163,LENOX AVENUE,163 LENOX AVENUE HOUSING DEVELOPMENT FUND CORP,23439,1057493,8,COOP,2,Tenant Interim Lease (TIL),,,110,9,70,30,13,10026,220
1020730032,1,2073,32,1646,AMSTERDAM AVENUE,1646 Amsterdam Avenue HDFC,5610,1061796,8,COOP,2,Community Management Program (CMP),Mark Matthews,,109,7,71,30,13,10031,225
1003930036,1,393,36,169,AVENUE C,165-167-169 AVENUE C HDFC,6555,1004893,8,COOP,2,Tenant Interim Lease (TIL) 2,,,103,2,74,27,12,10009,28
1003930037,1,393,37,167,AVENUE C,165-167-169 AVENUE C HDFC,6554,1004894,18,COOP,2,Tenant Interim Lease (TIL) 2,,,103,2,74,27,12,10009,28
1003930038,1,393,38,165,AVENUE C,165-167-169 AVENUE C HDFC,6553,1004895,10,COOP,2,Tenant Interim Lease (TIL) 2,,,103,2,74,27,12,10009,28
1019060061,1,1906,61,2039,ADAM C POWELL BOULEVARD,166 West 122 Street HDFC,3439,1057698,9,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10027,220
1019140001,1,1914,1,2181,ADAM C POWELL BOULEVARD,167 W 129TH ST HDFC,3475,1057972,22,COOP,2,Capital Improvement Program/Capital Projects Bureau,,,110,9,70,30,13,10027,224
1019180007,1,1918,7,167,WEST 133 STREET,167 West 133 Street HDFC,40582,1058211,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10030,226
1004160020,1,416,20,169,ALLEN STREET,167-69 Allen Street HDFC,5464,1005509,30,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,7,10002,3601
1004160022,1,416,22,167 FRONT,ALLEN STREET,167-69 Allen Street HDFC,5463,0,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,7,10002,3601
