BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
3027600017,3,2760,17,184,CONSELYEA STREET,182-84 Conselyea Street HDFC,225584,3322899,3,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,50,18,12,11211,497
3018170036,3,1817,36,184,MONROE STREET,184 Monroe Street HDFC,338754,3051316,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,57,25,8,11216,245
3016140010,3,1614,10,184,VAN BUREN STREET,184 Van Buren Street HDFC,385692,3043697,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11221,279
3013440103,3,1344,103,1890,PACIFIC STREET,1890 Pacific Street HDFC,349853,3035730,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,41,56,25,8,11233,307
3028840026,3,2884,26,19,KINGSLAND AVENUE,19 Kingsland Avenue HDFC,320714,3070195,6,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,50,18,12,11211,477
3030310043,3,3031,43,19 FRONT,SCHOLES STREET,19 Scholes Street HDFC,368218,0,7,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,511
3019270039,3,1927,39,192,SKILLMAN STREET,192 Skillman Street HDFC,370753,3055206,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,33,57,25,8,11205,235
3024320027,3,2432,27,195,SOUTH 4 STREET,195 South 4 Street HDFC,372256,3330564,35,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11211,523
3018420032,3,1842,32,2,ARLINGTON PLACE,2 Arlington Place HDFC,184824,3052963,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,303,36,57,25,8,11216,245
3054400010,3,5440,10,2,WEBSTER AVENUE,2 Webster Avenue HDFC,389348,3128757,30,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,312,44,48,17,10,11230,476
3026890056,3,2689,56,200,KINGSLAND AVENUE,200-202 Kingsland Avenue,320719,3067225,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,12,11222,591
3026890057,3,2689,57,202,KINGSLAND AVENUE,200-202 Kingsland Avenue,808652,3348004,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,12,11222,591
3013710008,3,1371,8,207,TROY AVENUE,207 Troy Avenue HDFC,382406,3036410,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,9,11213,345
3019800007,3,1980,7,211,ST JAMES PLACE,211 James Place HDFC,373447,3056686,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,35,57,25,8,11238,201
3051650072,3,5165,72,2146,CORTELYOU ROAD,2146 Cortelyou Road HDFC,226501,3118901,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,40,42,21,9,11226,792
3014330060,3,1433,60,2149,PACIFIC STREET,2149-53 Pacific Street HDFC,349984,3038582,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,316,41,55,25,8,11233,303
3026880034,3,2688,34,217,KINGSLAND AVENUE,217 Kingsland Avenue HDFC,320732,3067139,16,COOP,2,Community Management Program (CMP),Kate Synak,,301,33,50,26,12,11222,591
3014330028,3,1433,28,2170,ATLANTIC AVENUE,2170 Atlantic Avenue HDFC Who owns this now?,185926,3038567,35,RENTAL,2,Article 8A Loan,,,316,41,55,25,8,11233,303
3014330035,3,1433,35,2178,ATLANTIC AVENUE,2178 ATLANTIC AVE HDFC*% M GIRALDO,185928,3038569,16,RENTAL,2,,,,316,41,55,25,8,11233,303
3030450017,3,3045,17,204,BUSHWICK AVENUE,218 Scholes Street HDFC,807882,3071014,17,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,493
3014330047,3,1433,47,2181,PACIFIC STREET,2181 PACIFIC ST HOUSING DEVEL FUND CORP,349995,3038572,16,UNKNOWN,2,,,Sweat Equity,316,41,55,25,8,11233,303
3014330038,3,1433,38,2182,ATLANTIC AVENUE,2182 Atlantic Avenue HDFC,185930,3038570,16,COOP,2,Community Management Program (CMP),Mark Matthews,,316,41,55,25,8,11233,303
3015650008,3,1565,8,219,HOPKINSON AVENUE,219 Hopkinson Avenue HDFC,313703,3042498,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,316,41,55,25,8,11233,301
3022350035,3,2235,35,220,LEE AVENUE,220 Lee Avenue HDFC,323317,3061228,4,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
