time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2011-09-01T06:14:38.650Z	-12.357	166.657	39	6	mww	315	25.9		1.23	pde	pde20110901061438650_39	2013-03-16T00:05:03.971Z	Santa Cruz Islands	earthquake
2011-08-10T23:45:43.040Z	-7.04	-12.618	10	6	mww	181	26		1.2	pde	pde20110810234543040_10	2013-03-16T00:04:32.409Z	Ascension Island region	earthquake
2011-07-26T17:44:20.380Z	25.101	-109.525	12	6	mww	379	81.3		1.19	pde	pde20110726174420380_12	2013-03-16T00:04:04.242Z	Gulf of California	earthquake
2011-07-21T23:01:42.510Z	-62.496	164.452	10	6	mww	75	66.3		1	pde	pde20110721230142510_10	2013-03-16T00:03:56.328Z	Balleny Islands region	earthquake
2011-07-20T22:04:59.320Z	-10.34	162.01	21	6	mww	460	16.4		0.91	pde	pde20110720220459320_21	2013-11-05T09:04:46.910Z	Solomon Islands	earthquake
2011-07-16T00:26:12.640Z	-33.819	-71.832	20	6	mww	334	39.8		0.84	pde	pde20110716002612640_20	2013-11-05T09:02:48.188Z	offshore Valparaiso, Chile	earthquake
2011-07-09T19:35:18.750Z	-29.436	-177.007	15.2	6	mww	235	42.1		1.14	pde	pde20110709193518750_15	2013-03-16T00:03:40.542Z	Kermadec Islands, New Zealand	earthquake
2011-07-09T15:02:27.240Z	-29.337	-177.051	14	6	mww	238	33.2		1.05	pde	pde20110709150227240_14	2013-03-16T00:03:39.990Z	Kermadec Islands, New Zealand	earthquake
2011-06-21T02:04:15.940Z	-11.479	165.551	14	6	mww	383	17		0.92	pde	pde20110621020415940_14	2013-03-16T00:03:10.517Z	Santa Cruz Islands	earthquake
2011-05-05T14:58:18.680Z	38.17	144.032	11	6	mww	447	18		0.9	pde	pde20110505145818680_11	2013-03-16T00:02:02.640Z	off the east coast of Honshu, Japan	earthquake
2011-04-13T19:57:25.420Z	39.583	143.34	22	6	mww	427	33.7		0.88	pde	pde20110413195725420_22	2013-03-16T00:01:33.722Z	off the east coast of Honshu, Japan	earthquake
2011-04-06T14:01:43.340Z	1.615	97.097	25.3	6	mww	336	17.2		0.95	pde	pde20110406140143340_25	2013-11-05T08:02:25.228Z	Nias region, Indonesia	earthquake
2011-04-01T13:29:10.690Z	35.662	26.56	59.9	6	mww	395	23.9			pde	pde20110401132910690_59	2013-11-05T08:01:34.675Z	Crete, Greece	earthquake
2011-03-31T07:15:30.190Z	38.922	141.821	42	6	mww	518	55.5		0.85	pde	pde20110331071530190_42	2013-03-16T01:53:37.806Z	near the east coast of Honshu, Japan	earthquake
